id,firstname,lastname,surname,series,number,email,is_active
e7439dd4-6f53-11ee-b962-0242ac120002,Иванов,Алексей,Андреевич,2004,123321,example@mail.ru,true
e743a022-6f53-11ee-b962-0242ac120002,Смирнов,Иван,Юрьевич,2005,345656,example@mail.ru,true
e743a13a-6f53-11ee-b962-0242ac120002,Петров,Петр,Николаевич,2014,765345,example@mail.ru,true
e743a338-6f53-11ee-b962-0242ac120002,Сидоров,Николай,Алексеевич,2017,432755,example@mail.ru,true
e743a43c-6f53-11ee-b962-0242ac120002,Кириедов,Сергей,Игнатьевич,2015,745975,example@mail.ru,true
e743a540-6f53-11ee-b962-0242ac120002,Водовозов,Евгений,Петрович,2015,346530,example@mail.ru,true
e743a630-6f53-11ee-b962-0242ac120002,Информинов,Юрий,Федорович,2011,958473,example@mail.ru,true
e743aa2c-6f53-11ee-b962-0242ac120002,Безбородов,Александр,Степанович,2009,449586,example@mail.ru,true
e743ab44-6f53-11ee-b962-0242ac120002,Силуянов,Андрей,Никифорович,2018,637485,example@mail.ru,true
e743ad06-6f53-11ee-b962-0242ac120002,Именитов,Виктор,Тимофеевич,2011,995848,example@mail.ru,true
